lang,story name,story path,lines number,chunks number
איטלקית,אבירוּת כפרית,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\אבירוּת כפרית.txt,267,2
איטלקית,רוסו מַלפֶּלו,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\רוסו מַלפֶּלו.txt,485,5
איטלקית,רוסו מַלפֶּלו,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\רוסו מַלפֶּלו.txt,485,5
איטלקית,"פאדרה פדרונה אבי, אדוני","C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\פאדרה פדרונה אבי, אדוני.txt",853,5
איטלקית,הלב של רוסיליונה,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\הלב של רוסיליונה.txt,119,2
איטלקית,הזהו אדם,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\הזהו אדם.txt,1341,7
איטלקית,הגוף האנושי,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\הגוף האנושי.txt,941,5
איטלקית,הרכבות הנוסעות למדראס,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\הרכבות הנוסעות למדראס.txt,431,4
איטלקית,הבז של פדריגו,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\הבז של פדריגו.txt,163,2
איטלקית,"דקאמרון  יום רביעי, סיפור תשיעי","C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\דקאמרון  יום רביעי, סיפור תשיעי.txt",60,2
איטלקית,"דקאמרון  יום חמישי, סיפור תשיעי","C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\דקאמרון  יום חמישי, סיפור תשיעי.txt",82,2
איטלקית,אתה צוחק,C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\אתה צוחק.txt,235,2
איטלקית,"איטליה, ענן","C:\Users\Oren-Pc\Downloads\Mac OS - NLP-LAB\NLP-LAB\Part_B\Stories Text Files\איטלקית\איטליה, ענן.txt",73,1
